PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010055,01-OCT-22,30-SEP-23,As Submitted,FLOWERS HOSPITAL                        ,4370 WEST MAIN STREET                   ,6907                                    ,DOTHAN                                  ,AL                                      ,36302-                                  ,HOUSTON                                 ,,,,643739,,,.0904,,,194,70810,13931,7318,58162,,1030.18,,2777,1589,12653,,,,,,,
010058,01-OCT-22,30-SEP-23,As Submitted,BIBB MEDICAL CENTER                     ,208 PIERSON AVENUE                      ,,CENTREVILLE                             ,AL                                      ,35042                                   ,BIBB                                    ,,,,12356,,,.12,,,25,9125,1281,240,3050,,129.55,,73,104,254,,,,,,,
010059,01-OCT-22,30-SEP-23,As Submitted,LAWRENCE MEDICAL CENTER                 ,202 HOSPITAL STREET                     ,,MOULTON                                 ,AL                                      ,35650-                                  ,LAWRENCE                                ,,,,3503,,,.0257,,,43,15695,542,97,1628,,98.93,,93,29,360,,,,,,,
010061,01-NOV-22,31-OCT-23,As Submitted,HIGHLANDS MEDICAL CENTER                ,380 WOOD COVE ROAD                      ,1050                                    ,SCOTTSBORO                              ,AL                                      ,35768                                   ,JACKSON                                 ,,,,125031,,,.12,,,45,16425,2404,1415,7803,,403.18,,540,181,2055,,,,,,,
010062,01-OCT-22,30-SEP-23,As Submitted,WIREGRASS MEDICAL CENTER                ,1200 WEST MAPLE STREET                  ,,GENEVA                                  ,AL                                      ,36340                                   ,GENEVA                                  ,,,,15999,,,.12,,,33,12045,1239,737,3374,,150.14,,84,155,422,,,,27,,208,
010065,01-JAN-23,31-DEC-23,As Submitted,RUSSELL MEDICAL CENTER                  ,3316 HIGHWAY 280                        ,939                                     ,ALEXANDER CITY                          ,AL                                      ,35010                                   ,TALLAPOOSA                              ,,,,94000,,,.1216,,,45,16425,1977,1114,7395,,457.54,,385,415,1614,45,,,,,,
010069,01-JAN-23,31-DEC-23,As Submitted,MEDICAL CENTER BARBOUR                  ,820 WEST WASHINGTON STREET              ,,EUFAULA                                 ,AL                                      ,36027                                   ,BARBOUR                                 ,,,,19440,,,.0641,,,30,10950,681,318,3058,,122.66,,206,112,978,,,,,,234,
010073,01-OCT-22,30-SEP-23,As Submitted,CLAY COUNTY HOSPITAL                    ,83825 HIGHWAY 9                         ,1270                                    ,ASHLAND                                 ,AL                                      ,36251                                   ,CLAY                                    ,,,,107763,,,.3179,,,46,16790,1267,1271,4052,,163.45,,200,242,736,,,,,,,
010078,01-OCT-22,30-SEP-23,As Submitted,NORTHEAST ALABAMA REGIONAL MED CTR      ,400 EAST TENTH STREET                   ,2208                                    ,ANNISTON                                ,AL                                      ,36202-                                  ,CALHOUN                                 ,,,,966010,,,.1493,,,283,103295,15576,14958,64608,,1454.46,,2699,2608,12678,,,,,,600,
010083,01-OCT-22,30-SEP-23,As Submitted,SOUTH BALDWIN REGIONAL MEDICAL CENTE    ,1613 NORTH MCKENZIE                     ,,FOLEY                                   ,AL                                      ,36535-                                  ,BALDWIN                                 ,1738876,,,189489,,,.0549,943019,820882,108,39420,6539,3541,26562,27.05,707.54,,1579,731,5189,,,,,,,
010086,01-JAN-23,31-DEC-23,As Submitted,NORTHWEST MEDICAL CENTER                ,HIGHWAY 78 WEST                         ,130                                     ,WINFIELD                                ,AL                                      ,35594                                   ,MARION                                  ,,,,30015,,,.0586,,,28,10220,1228,397,3022,,182.61,,306,114,856,,,,23,,168,
010087,01-OCT-22,30-SEP-23,As Submitted,USA HEALTH UNIVERSITY HOSPITAL          ,2451 UNIVERSITY HOSPITAL DRIVE          ,,MOBILE                                  ,AL                                      ,36617                                   ,MOBILE                                  ,4399135,158509,,823754,17747,,.2007,4866045,3343046,264,96360,11643,20745,93685,201.11,2195.73,,1433,2403,12610,,,,,,,
010089,01-JAN-23,31-DEC-23,As Submitted,WALKER BAPTIST MEDICAL CENTER           ,3400 HIGHWAY 78 EAST                    ,3547                                    ,JASPER                                  ,AL                                      ,35502                                   ,WALKER                                  ,,,,282718,,,.1227,,,207,75555,3984,4696,22446,,353.25,,964,1142,5702,,,,292,,1121,
010090,01-JUL-23,30-SEP-23,As Submitted,PROVIDENCE HOSPITAL                     ,6801 AIRPORT BLVD                       ,,MOBILE                                  ,AL                                      ,36608                                   ,MOBILE                                  ,,,,103472,,,.0644,,,349,32108,3263,2033,15925,,975.37,,589,429,3137,,,,,,,
010092,01-OCT-22,30-SEP-23,As Submitted,DCH REGIONAL MEDICAL CENTER             ,809 UNIVERSITY BLVD EAST                ,,TUSCALOOSA                              ,AL                                      ,35401-                                  ,TUSCALOOSA                              ,2883460,,,1966965,,,.1807,1831514,730918,398,145270,25571,30384,116499,48.51,3125.9,,4385,6613,24572,,,,,20,1094,733
010095,01-OCT-22,30-SEP-23,As Submitted,HALE COUNTY HOSPITAL                    ,508 GREENE STREET                       ,,GREENSBORO                              ,AL                                      ,36744                                   ,HALE                                    ,,,,12750,,,.12,,,28,10220,591,282,1904,,86.59,,78,114,326,,,,,,,
010097,01-JAN-23,31-DEC-23,As Submitted,ELMORE COMMUNITY HOSPITAL               ,500 HOSPITAL DRIVE                      ,,WETUMPKA                                ,AL                                      ,36092                                   ,ELMORE                                  ,,,,27944,,,.12,,,33,12045,486,537,3094,,146.16,,154,100,868,,,,,,,
010099,01-OCT-22,30-SEP-23,As Submitted,D W MCMILLAN MEMORIAL HOSPITAL          ,1301 BELLEVILLE AVENUE                  ,908                                     ,BREWTON                                 ,AL                                      ,36427                                   ,ESCAMBIA                                ,,,,47686,,,.12,,,46,16790,947,934,3409,,186.86,,272,326,1089,,,,,,,
010101,01-JAN-23,31-DEC-23,As Submitted,CITIZENS BAPTIST MEDICAL CENTER         ,604 STONE AVENUE                        ,,TALLADEGA                               ,AL                                      ,35161                                   ,TALLADEGA                               ,,,,56705,,,.0954,,,103,37595,1242,1032,8269,,141.4,,318,239,1481,,,,,,,
010102,01-OCT-22,30-SEP-23,As Submitted,JOHN PAUL JONES HOSPITAL                ,317 MCWILLIAMS AVENUE                   ,,CAMDEN                                  ,AL                                      ,36726-1610                              ,WILCOX                                  ,,,,3237,,,.12,,,21,7665,73,18,199,,37.9,,20,13,81,,,,,,,
010103,01-JAN-23,31-DEC-23,As Submitted,PRINCETON BAPTIST MEDICAL CENTER        ,701 PRINCETON AVE SW                    ,,BIRMINGHAM                              ,AL                                      ,35211                                   ,JEFFERSON                               ,1885771,,,473840,,,.1028,4468078,983750,255,93043,8768,8442,52277,50.39,655.6,,1591,1186,9856,,,,25,,288,
010110,01-JAN-23,31-DEC-23,As Submitted,BULLOCK COUNTY HOSPITAL                 ,BULLOCK COUNTY HOSPITAL                 ,102 CONECUH AVENUE                      ,UNION SPRINGS                           ,AL                                      ,36089                                   ,BULLOCK                                 ,,,,,,,.1087,,,17,6205,,,,,73.87,,,,,,,,231,,813,
010112,01-OCT-22,30-SEP-23,As Submitted,WHITFIELD REGIONAL HOSPITAL             ,105 HIGHWAY 80 EAST                     ,,DEMOPOLIS                               ,AL                                      ,36732                                   ,MARENGO                                 ,,,,86920,,,.12,,,47,17155,2254,1151,8562,,249.33,,316,279,1455,,,,141,,557,
010114,01-OCT-22,30-SEP-23,As Submitted,UAB MEDICAL WEST                        ,995 NINTH AVENUE  SOUTHWEST             ,847                                     ,BESSEMER                                ,AL                                      ,35023                                   ,JEFFERSON                               ,,,,241677,,,.1081,,,204,73870,6250,4836,35087,,919.9,,977,1146,6074,,,,19,31,273,239
010120,01-OCT-22,30-SEP-23,As Submitted,MONROE COUNTY HOSPITAL                  ,2016 SOUTH ALABAMA AVENUE               ,886                                     ,MONROEVILLE                             ,AL                                      ,36461                                   ,MONROE                                  ,,,,32556,,,.12,,,46,16790,711,583,2908,,190.52,,196,311,810,,,,,,,
010125,01-JAN-23,31-DEC-23,As Submitted,LAKELAND COMMUNITY HOSPITAL             ,42024 HIGHWAY 195                       ,780                                     ,HALEYVILLE                              ,AL                                      ,35565                                   ,WINSTON                                 ,,,,21966,,,.0453,,,40,14600,1599,247,3103,,115.25,,298,80,695,,,,,,125,
010128,01-JAN-23,31-DEC-23,As Submitted,JACKSON MEDICAL CENTER                  ,220 HOSPITAL DRIVE                      ,,JACKSON                                 ,AL                                      ,36545                                   ,CLARKE                                  ,,,,17992,,,.12,,,35,12775,613,667,2156,,95.95,,116,198,530,,,,,,,
010138,01-JAN-23,31-DEC-23,As Submitted,HILL HOSPITAL OF SUMTER COUNTY          ,751 DERBY DRIVE                         ,,YORK                                    ,AL                                      ,36925                                   ,SUMTER                                  ,,,,2660,,,.12,,,33,12045,140,2117,3454,,44.05,,20,100,279,,,,,,,
010139,01-JAN-23,31-DEC-23,As Submitted,BROOKWOOD BAPTIST MEDICAL CENTER        ,2010 BROOKWOOD MEDICAL CENTER DRIVE     ,,BIRMINGHAM                              ,AL                                      ,35209                                   ,JEFFERSON                               ,,,,537321,,,.1233,,,429,156585,8041,14161,60540,,846.5,,1526,1625,11857,10,8,,353,,1533,738
010144,01-JAN-23,31-DEC-23,As Submitted,SPRINGHILL MEMORIAL HOSPITAL            ,3719 DAUPHIN STREET                     ,,MOBILE                                  ,AL                                      ,36608                                   ,MOBILE                                  ,,,,266211,,,.0471,,,189,68985,9968,5197,52641,,965.87,,1779,949,9041,,,,,,,406
010148,01-JAN-23,31-DEC-23,As Submitted,EVERGREEN MEDICAL CENTER                ,101 CRESTVIEW AVENUE                    ,,EVERGREEN                               ,AL                                      ,36401-                                  ,CONECUH                                 ,,,,48299,,,.1007,,,44,16060,1319,476,3592,,98.75,,364,181,906,,,,,,,
010150,01-OCT-22,30-SEP-23,As Submitted,REGIONAL MEDICAL CTR OF CENTRAL AL      ,29 LV STABLER DRIVE                     ,,GREENVILLE                              ,AL                                      ,36037                                   ,BUTLER                                  ,,,,25048,,,.1048,,,44,16060,662,454,3031,,135.75,,137,127,701,,,,1,,132,
010158,01-JAN-23,31-DEC-23,As Submitted,RUSSELLVILLE HOSPITAL                   ,15155 HIGHWAY 43                        ,1089                                    ,RUSSELLVILLE                            ,AL                                      ,35653                                   ,,,,,41105,,,.0704,,,51,18615,2087,534,4898,,82.24,,325,106,938,,,,,,,
010168,01-JAN-23,31-DEC-23,As Submitted,JACK HUGHSTON MEMORIAL HOSPITAL         ,4401 RIVER CHASE DRIVE                  ,,PHENIX CITY                             ,AL                                      ,36867                                   ,RUSSELL                                 ,662110,,,,,,,243832,284532,47,17155,1171,120,5300,8.93,299.14,,412,27,2362,2,,,,,,
010169,01-OCT-22,30-SEP-23,As Submitted,ATMORE COMMUNITY HOSPITAL               ,401 MEDICAL PARK DRIVE                  ,,ATMORE                                  ,AL                                      ,36502                                   ,ESCAMBIA                                ,,,,15489,,,.0777,,,49,17885,714,335,3080,,138.63,,147,85,726,,,,,,,
010174,01-JAN-23,31-DEC-23,As Submitted,THOMASVILLE REGIONAL MEDICAL CENTER     ,300 MED PARK DRIVE                      ,,THOMASVILLE                             ,AL                                      ,36784                                   ,CLARKE                                  ,,,,10423,,,.0868,,,29,10585,315,95,582,,100.35,,82,62,279,,,,,,,
010175,01-OCT-22,30-SEP-23,As Submitted,EAMC-LANIER                             ,4800 48TH STREET                        ,,VALLEY                                  ,AL                                      ,36854                                   ,CHAMBERS                                ,,,,9844,,,.049,,,12,4380,753,197,2228,,171.82,,132,54,441,,,,,,164,234
011300,01-OCT-22,30-SEP-23,As Submitted,WASHINGTON COUNTY HOSPITAL              ,ST. STEPHENS AVENUE                     ,1299                                    ,CHATOM                                  ,AL                                      ,36518                                   ,WASHINGTON                              ,,,,,,,,,,15,5475,1025,270,2326,,87.64,,53,76,189,,,,,,,
011302,01-OCT-22,30-SEP-23,As Submitted,RED BAY HOSPITAL                        ,211 HOSPITAL ROAD                       ,490                                     ,RED BAY                                 ,AL                                      ,35582-                                  ,,,,,,,,,,,25,9125,1428,43,2565,,78.68,,86,9,154,,,,,,,
011304,01-JAN-23,31-DEC-23,As Submitted,OCHSNER CHOCTAW GENERAL                 ,401 VANITY FAIR LANE                    ,618                                     ,BUTLER                                  ,AL                                      ,36904                                   ,BUTLER                                  ,,,,,,,,,,25,9125,1121,11,2225,,78.06,,18,4,53,,,,,,,
013025,01-JAN-23,31-DEC-23,As Submitted,ENCOMPASS HEALTH LAKESHORE REHABILIT    ,ENCOMPASS HEALTH LAKESHORE REHABILIT    ,,BIRMINGHAM                              ,AL                                      ,35209                                   ,JEFFERSON                               ,,,,,,,,,,100,36500,12588,4437,32782,,295.19,,1062,365,2703,128,,,,,,
013028,01-JAN-23,31-DEC-23,As Submitted,ENCOMPASS HEALTH REHABILITATION HOSP    ,4465 NARROW LANE ROAD                   ,,MONTGOMERY                              ,AL                                      ,36116                                   ,MONTGOMERY                              ,,,,,,,,,,75,27375,11240,,24168,,203.43,,914,,1861,38,,,,,,
013032,01-JAN-23,31-DEC-23,As Submitted,ENCOMPASS HEALTH REHABILITATION HOSP    ,801 GOODYEAR AVENUE                     ,,GADSDEN                                 ,AL                                      ,35903                                   ,ETOWAH                                  ,,,,,,,,,,49,17885,9088,,16821,,148.93,,722,,1362,14,,,,,,
013300,01-JAN-23,31-DEC-23,As Submitted,THE CHILDRENS HOSPITAL OF ALABAMA       ,1600 7TH AVENUE SOUTH                   ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,,,,,,,,,6989,351,128115,694,,98448,145.74,4552,13.9,110,,16130,,,,,,,
013301,01-OCT-22,30-SEP-23,As Submitted,USA CHILDRENS AND WOMENS HOSPITAL       ,1700 CENTER STREET                      ,,MOBILE                                  ,AL                                      ,36604                                   ,MOBILE                                  ,,,,,,,,,69876,245,89425,93,43523,61088,69.69,1255.53,,26,6172,10103,,,,,,,
014012,01-OCT-22,30-SEP-23,Settled,MARY S HARPER GERIATRIC PSYCH CEN       ,201 UNIVERSITY BOULEVARD                ,21231                                   ,TUSCALOOSA                              ,AL                                      ,35402-                                  ,TUSCALOOSA                              ,,,,,,,,,,126,45990,130,12539,23518,,335.29,,12,57,69,,,,,,,
014014,01-OCT-22,30-SEP-23,Settled,BAYPOINTE BEHAVIORAL HEALTH             ,5800 SOUTHLAND DRIVE                    ,,MOBILE                                  ,AL                                      ,36693-3313                              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014015,01-JAN-23,31-DEC-23,Settled,BEACON CHILDRENS HOSPITAL               ,150 HOSPITAL DRIVE                      ,,LUVERNE                                 ,AL                                      ,36049                                   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014016,24-MAR-23,31-DEC-23,As Submitted,THE SANCTUARY AT THE WOODLANDS          ,1910 CHEROKEE AVE SW                    ,,CULLMAN                                 ,AL                                      ,35055                                   ,CULLMAN                                 ,,,,,,,,,,40,11320,2568,,5569,,50.84,,145,,284,,,,,,,
014017,01-OCT-22,30-SEP-23,Settled,EASTPOINTE HOSPITAL                     ,7400 ROPER LANE                         ,,DAPHNE                                  ,AL                                      ,36526                                   ,BALDWIN                                 ,,,,,,,,,,82,29930,1387,,22912,,132,,50,,545,,,,,,,
014018,01-JAN-23,31-DEC-23,As Submitted,BEHAVIORAL HEALTH CENTERS               ,5315 MILLENNIUM DRIVE NORTWEST          ,,HUBTSVILLE                              ,AL                                      ,35806                                   ,MADISON                                 ,,,,,,,,,,20,7300,3834,,5844,,30.64,,217,,379,,,,,,,
020012,01-JAN-23,31-DEC-23,As Submitted,FAIRBANKS MEMORIAL                      ,1650 COWLES ST                          ,,FAIRBANKS                               ,AK                                      ,99701                                   ,NORTH STAR BOROUGH                      ,,,,785098,,,.202,,,122,44530,6588,6041,21573,,1374.06,,1323,1779,5852,,,,,,,
020017,01-JAN-23,31-DEC-23,As Submitted,ALASKA REGIONAL HOSPITAL                ,2801 DEBAR ROAD                         ,,ANCHORAGE                               ,AK                                      ,99508                                   ,MUNICIPALITY OF ANCHORAGE               ,,,,2108766,,,.1675,,,170,61712,19354,9175,42592,,796.61,,2870,1885,7325,,,,,31,,230
021301,01-JAN-23,31-DEC-23,As Submitted,PROVIDENCE VALDEZ MEDICAL CENTER        ,911 MEALS AVENUE                        ,,VALDEZ                                  ,AK                                      ,99686-                                  ,VALDEZ-CORDOVA BOROUGH                  ,,,,,,,,,,11,4015,146,221,608,,76.1,,22,33,100,,,,,,,
021302,01-JAN-23,31-DEC-23,As Submitted,PROVIDENCE SEWARD MEDICAL & CARE CEN    ,417 1ST AVENUE                          ,365                                     ,SEWARD                                  ,AK                                      ,99664-0365                              ,KENAI PENINSULA BOROUGH                 ,,,,,,,,,,6,2190,110,40,243,,89.07,,26,9,59,,,,,,,
021305,01-OCT-22,30-SEP-23,As Submitted,WRANGELL MEDICAL CENTER                 ,310 BENNETT STREET                      ,1081                                    ,WRANGELL                                ,AK                                      ,99929-                                  ,,,,,,,,,,,8,2920,517,31,764,,81,,41,11,76,,,,,,,
021306,01-JAN-23,31-DEC-23,As Submitted,PROV. KODIAK ISLAND MEDICAL CENTER      ,1915 E REZANOF DRIVE                    ,1187                                    ,KODIAK                                  ,AK                                      ,99615                                   ,KODIAK ISLAND BOROUGH                   ,,,,,,,,,,24,8760,938,666,2311,,156.14,,161,177,607,11,,,,,,
021307,01-JAN-23,31-DEC-23,As Submitted,CORDOVA COMMUNITY MEDICAL CENTER        ,602 CHASE STREET                        ,160                                     ,CORDOVA                                 ,AK                                      ,99574-                                  ,CORDOVA                                 ,,,,,,,,,,13,4745,512,138,772,,46.49,,27,12,54,,,,,,,
021308,01-OCT-22,30-SEP-23,As Submitted,NORTON SOUND REGIONAL HOSPITAL          ,1000 GREG KRUSCHEK                      ,966                                     ,NOME                                    ,AK                                      ,99762-                                  ,NOME BOROUGH                            ,,,,,,,,,,18,6570,1447,1640,3943,,768,,156,391,752,,,,,,,
021309,01-OCT-22,30-SEP-23,As Submitted,KANAKANAK HOSPITAL                      ,6000 KANAKANAK ROAD                     ,,DILLINGHAM                              ,AK                                      ,99576                                   ,DILLINGHAM                              ,,,,,,,,,,16,5840,335,425,1019,,510,,67,122,270,,,,,,,
021310,01-OCT-22,30-SEP-23,As Submitted,MANIILAQ HEALTH CENTER                  ,436 5TH AVENUE                          ,43                                      ,KOTZEBUE                                ,AK                                      ,99752                                   ,KOBUK                                   ,,,,,,,,,,17,6205,319,485,907,,387,,98,185,381,,,,,,,
021312,01-OCT-22,30-SEP-23,As Submitted,SAMUEL SIMMONDS MEMORIAL HOSPITAL       ,1296 AGVIK STREET                       ,29                                      ,BARROW                                  ,AK                                      ,99723                                   ,NORTH SLOPE BOROUGH                     ,,,,,,,,,,10,3650,428,330,974,,478,,138,104,353,,,,,,,
021314,01-OCT-22,30-SEP-23,As Submitted,MT EDGECUMBE HOSPITAL                   ,3245 HOSPITAL DR.                       ,,JUNEAU                                  ,AK                                      ,99801                                   ,SITKA BOROUGH                           ,,,,,,,,,,25,9125,1997,750,4125,,1580,,270,195,728,,,,,,,
022001,01-JAN-23,31-DEC-23,As Submitted,ALASKA SPECIALTY HOSPITAL  LLC          ,4800 CORDOVA STREET                     ,,ANCHORAGE                               ,AK                                      ,99503                                   ,ANCHORAGE MUNICIPALITY                  ,,,,,,,,,,21,8350,1422,768,4215,,154.77,,40,17,103,,,,,82,,572
024001,01-JAN-23,31-DEC-23,As Submitted,NORTH STAR HOSPITAL                     ,2530 DEBARR RD                          ,,ANCHORAGE                               ,AK                                      ,99508-2948                              ,,,,,,,,,,,140,51100,13,12955,19637,,178.86,,3,566,816,,,,,,,
